Timestamp	Open	High	Low	Close	Volume (BTC)	Volume (Currency)	Weighted Price
2014-12-15 00:00:00	357.3	357.3	346.21	349	8092.84	2839870.56	350.91
2014-12-16 00:00:00	348.85	349.35	327.34	329.05	18183.37	6139498.87	337.64
2014-12-17 00:00:00	329.05	335.99	315.23	322	22891.99	7391844.78	322.9
2014-12-18 00:00:00	321.96	325.61	304.99	312.67	21603.61	6776835.33	313.69
2014-12-19 00:00:00	312.65	320	307.11	318.33	15995.62	5011565.29	313.31
2014-12-20 00:00:00	318.58	333	316.52	331.79	11378.89	3695215.83	324.74
2014-12-21 00:00:00	331.77	332.31	318.78	320.01	6358.08	2062985.82	324.47
2014-12-22 00:00:00	320.88	333.99	319.9	331.56	11812.77	3877621.72	328.26
2014-12-23 00:00:00	332.52	338.99	327.49	336.92	7679.77	2563296.1	333.77
2014-12-24 00:00:00	336.9	336.9	320.92	323.06	5884.88	1936038.28	328.99
2014-12-25 00:00:00	323.03	323.72	316.63	319.86	3888.25	1242750.87	319.62
2014-12-26 00:00:00	319.85	332	316.64	328.27	6406.26	2086629.69	325.72
2014-12-27 00:00:00	329.31	329.31	311.63	316.47	8687.54	2761873.31	317.91
2014-12-28 00:00:00	316.48	319.56	311.22	317.64	4121.08	1299017.98	315.21
2014-12-29 00:00:00	317.64	320.14	310.26	313.01	6929.63	2179989.77	314.59
2014-12-30 00:00:00	313.36	316.77	310	311.07	8885.66	2777323.39	312.56
2014-12-31 00:00:00	311.1	321	310.69	321	6338.2	2002286.39	315.91
2015-01-01 00:00:00	321	321	312.6	313.81	3087.44	974509.58	315.64
2015-01-02 00:00:00	313.82	317.01	311.96	315.42	3468.28	1092445.68	314.98
2015-01-03 00:00:00	315.42	316.58	280	282	21752.72	6475951.87	297.71
2015-01-04 00:00:00	280	289.39	255	264	41441.28	11266762.63	271.87
2015-01-05 00:00:00	264.55	280	264.07	276.8	9528.27	2596897.87	272.55
2015-01-06 00:00:00	—	—	—	—	—	—	—
2015-01-07 00:00:00	—	—	—	—	—	—	—
2015-01-08 00:00:00	—	—	—	—	—	—	—
2015-01-09 00:00:00	272.45	305	272.45	293.97	9914.25	2898085.39	292.32
2015-01-10 00:00:00	293.89	295	271.03	275.59	29448.78	8367179.26	284.13
